BBBP,000,/etc/release
BBBP,001,/etc/release,"DISTRIB_ID=Ubuntu"
BBBP,002,/etc/release,"DISTRIB_RELEASE=12.04"
BBBP,003,/etc/release,"DISTRIB_CODENAME=precise"
BBBP,004,/etc/release,"DISTRIB_DESCRIPTION="Ubuntu 12.04.1 LTS""
BBBP,005,/etc/release,"NAME="Ubuntu""
BBBP,006,/etc/release,"VERSION="12.04.1 LTS, Precise Pangolin""
BBBP,007,/etc/release,"ID=ubuntu"
BBBP,008,/etc/release,"ID_LIKE=debian"
BBBP,009,/etc/release,"PRETTY_NAME="Ubuntu precise (12.04.1 LTS)""
BBBP,010,/etc/release,"VERSION_ID="12.04""
BBBP,011,lsb_release
BBBP,012,lsb_release,"LSB Version:	core-2.0-amd64:core-2.0-noarch:core-3.0-amd64:core-3.0-noarch:core-3.1-amd64:core-3.1-noarch:core-3.2-amd64:core-3.2-noarch:core-4.0-amd64:core-4.0-noarch"
BBBP,013,lsb_release,"Distributor ID:	Ubuntu"
BBBP,014,lsb_release,"Description:	Ubuntu 12.04.1 LTS"
BBBP,015,lsb_release,"Release:	12.04"
BBBP,016,lsb_release,"Codename:	precise"
BBBP,017,fdisk-l
BBBP,018,/proc/cpuinfo
BBBP,019,/proc/cpuinfo,"processor	: 0"
BBBP,020,/proc/cpuinfo,"vendor_id	: AuthenticAMD"
BBBP,021,/proc/cpuinfo,"cpu family	: 16"
BBBP,022,/proc/cpuinfo,"model		: 10"
BBBP,023,/proc/cpuinfo,"model name	: AMD Phenom(tm) II X6 1100T Processor"
BBBP,024,/proc/cpuinfo,"stepping	: 0"
BBBP,025,/proc/cpuinfo,"microcode	: 0x10000bf"
BBBP,026,/proc/cpuinfo,"cpu MHz		: 800.000"
BBBP,027,/proc/cpuinfo,"cache size	: 512 KB"
BBBP,028,/proc/cpuinfo,"physical id	: 0"
BBBP,029,/proc/cpuinfo,"siblings	: 6"
BBBP,030,/proc/cpuinfo,"core id		: 0"
BBBP,031,/proc/cpuinfo,"cpu cores	: 6"
BBBP,032,/proc/cpuinfo,"apicid		: 0"
BBBP,033,/proc/cpuinfo,"initial apicid	: 0"
BBBP,034,/proc/cpuinfo,"fpu		: yes"
BBBP,035,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,036,/proc/cpuinfo,"cpuid level	: 6"
BBBP,037,/proc/cpuinfo,"wp		: yes"
BBBP,038,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb npt lbrv svm_lock nrip_save pausefilter"
BBBP,039,/proc/cpuinfo,"bogomips	: 6600.08"
BBBP,040,/proc/cpuinfo,"TLB size	: 1024 4K pages"
BBBP,041,/proc/cpuinfo,"clflush size	: 64"
BBBP,042,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,043,/proc/cpuinfo,"address sizes	: 48 bits physical, 48 bits virtual"
BBBP,044,/proc/cpuinfo,"power management: ts ttp tm stc 100mhzsteps hwpstate cpb"
BBBP,045,/proc/cpuinfo,""
BBBP,046,/proc/cpuinfo,"processor	: 1"
BBBP,047,/proc/cpuinfo,"vendor_id	: AuthenticAMD"
BBBP,048,/proc/cpuinfo,"cpu family	: 16"
BBBP,049,/proc/cpuinfo,"model		: 10"
BBBP,050,/proc/cpuinfo,"model name	: AMD Phenom(tm) II X6 1100T Processor"
BBBP,051,/proc/cpuinfo,"stepping	: 0"
BBBP,052,/proc/cpuinfo,"microcode	: 0x10000bf"
BBBP,053,/proc/cpuinfo,"cpu MHz		: 800.000"
BBBP,054,/proc/cpuinfo,"cache size	: 512 KB"
BBBP,055,/proc/cpuinfo,"physical id	: 0"
BBBP,056,/proc/cpuinfo,"siblings	: 6"
BBBP,057,/proc/cpuinfo,"core id		: 1"
BBBP,058,/proc/cpuinfo,"cpu cores	: 6"
BBBP,059,/proc/cpuinfo,"apicid		: 1"
BBBP,060,/proc/cpuinfo,"initial apicid	: 1"
BBBP,061,/proc/cpuinfo,"fpu		: yes"
BBBP,062,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,063,/proc/cpuinfo,"cpuid level	: 6"
BBBP,064,/proc/cpuinfo,"wp		: yes"
BBBP,065,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb npt lbrv svm_lock nrip_save pausefilter"
BBBP,066,/proc/cpuinfo,"bogomips	: 6600.45"
BBBP,067,/proc/cpuinfo,"TLB size	: 1024 4K pages"
BBBP,068,/proc/cpuinfo,"clflush size	: 64"
BBBP,069,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,070,/proc/cpuinfo,"address sizes	: 48 bits physical, 48 bits virtual"
BBBP,071,/proc/cpuinfo,"power management: ts ttp tm stc 100mhzsteps hwpstate cpb"
BBBP,072,/proc/cpuinfo,""
BBBP,073,/proc/cpuinfo,"processor	: 2"
BBBP,074,/proc/cpuinfo,"vendor_id	: AuthenticAMD"
BBBP,075,/proc/cpuinfo,"cpu family	: 16"
BBBP,076,/proc/cpuinfo,"model		: 10"
BBBP,077,/proc/cpuinfo,"model name	: AMD Phenom(tm) II X6 1100T Processor"
BBBP,078,/proc/cpuinfo,"stepping	: 0"
BBBP,079,/proc/cpuinfo,"microcode	: 0x10000bf"
BBBP,080,/proc/cpuinfo,"cpu MHz		: 800.000"
BBBP,081,/proc/cpuinfo,"cache size	: 512 KB"
BBBP,082,/proc/cpuinfo,"physical id	: 0"
BBBP,083,/proc/cpuinfo,"siblings	: 6"
BBBP,084,/proc/cpuinfo,"core id		: 2"
BBBP,085,/proc/cpuinfo,"cpu cores	: 6"
BBBP,086,/proc/cpuinfo,"apicid		: 2"
BBBP,087,/proc/cpuinfo,"initial apicid	: 2"
BBBP,088,/proc/cpuinfo,"fpu		: yes"
BBBP,089,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,090,/proc/cpuinfo,"cpuid level	: 6"
BBBP,091,/proc/cpuinfo,"wp		: yes"
BBBP,092,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb npt lbrv svm_lock nrip_save pausefilter"
BBBP,093,/proc/cpuinfo,"bogomips	: 6600.45"
BBBP,094,/proc/cpuinfo,"TLB size	: 1024 4K pages"
BBBP,095,/proc/cpuinfo,"clflush size	: 64"
BBBP,096,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,097,/proc/cpuinfo,"address sizes	: 48 bits physical, 48 bits virtual"
BBBP,098,/proc/cpuinfo,"power management: ts ttp tm stc 100mhzsteps hwpstate cpb"
BBBP,099,/proc/cpuinfo,""
BBBP,100,/proc/cpuinfo,"processor	: 3"
BBBP,101,/proc/cpuinfo,"vendor_id	: AuthenticAMD"
BBBP,102,/proc/cpuinfo,"cpu family	: 16"
BBBP,103,/proc/cpuinfo,"model		: 10"
BBBP,104,/proc/cpuinfo,"model name	: AMD Phenom(tm) II X6 1100T Processor"
BBBP,105,/proc/cpuinfo,"stepping	: 0"
BBBP,106,/proc/cpuinfo,"microcode	: 0x10000bf"
BBBP,107,/proc/cpuinfo,"cpu MHz		: 800.000"
BBBP,108,/proc/cpuinfo,"cache size	: 512 KB"
BBBP,109,/proc/cpuinfo,"physical id	: 0"
BBBP,110,/proc/cpuinfo,"siblings	: 6"
BBBP,111,/proc/cpuinfo,"core id		: 3"
BBBP,112,/proc/cpuinfo,"cpu cores	: 6"
BBBP,113,/proc/cpuinfo,"apicid		: 3"
BBBP,114,/proc/cpuinfo,"initial apicid	: 3"
BBBP,115,/proc/cpuinfo,"fpu		: yes"
BBBP,116,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,117,/proc/cpuinfo,"cpuid level	: 6"
BBBP,118,/proc/cpuinfo,"wp		: yes"
BBBP,119,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb npt lbrv svm_lock nrip_save pausefilter"
BBBP,120,/proc/cpuinfo,"bogomips	: 6600.45"
BBBP,121,/proc/cpuinfo,"TLB size	: 1024 4K pages"
BBBP,122,/proc/cpuinfo,"clflush size	: 64"
BBBP,123,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,124,/proc/cpuinfo,"address sizes	: 48 bits physical, 48 bits virtual"
BBBP,125,/proc/cpuinfo,"power management: ts ttp tm stc 100mhzsteps hwpstate cpb"
BBBP,126,/proc/cpuinfo,""
BBBP,127,/proc/cpuinfo,"processor	: 4"
BBBP,128,/proc/cpuinfo,"vendor_id	: AuthenticAMD"
BBBP,129,/proc/cpuinfo,"cpu family	: 16"
BBBP,130,/proc/cpuinfo,"model		: 10"
BBBP,131,/proc/cpuinfo,"model name	: AMD Phenom(tm) II X6 1100T Processor"
BBBP,132,/proc/cpuinfo,"stepping	: 0"
BBBP,133,/proc/cpuinfo,"microcode	: 0x10000bf"
BBBP,134,/proc/cpuinfo,"cpu MHz		: 800.000"
BBBP,135,/proc/cpuinfo,"cache size	: 512 KB"
BBBP,136,/proc/cpuinfo,"physical id	: 0"
BBBP,137,/proc/cpuinfo,"siblings	: 6"
BBBP,138,/proc/cpuinfo,"core id		: 4"
BBBP,139,/proc/cpuinfo,"cpu cores	: 6"
BBBP,140,/proc/cpuinfo,"apicid		: 4"
BBBP,141,/proc/cpuinfo,"initial apicid	: 4"
BBBP,142,/proc/cpuinfo,"fpu		: yes"
BBBP,143,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,144,/proc/cpuinfo,"cpuid level	: 6"
BBBP,145,/proc/cpuinfo,"wp		: yes"
BBBP,146,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb npt lbrv svm_lock nrip_save pausefilter"
BBBP,147,/proc/cpuinfo,"bogomips	: 6600.46"
BBBP,148,/proc/cpuinfo,"TLB size	: 1024 4K pages"
BBBP,149,/proc/cpuinfo,"clflush size	: 64"
BBBP,150,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,151,/proc/cpuinfo,"address sizes	: 48 bits physical, 48 bits virtual"
BBBP,152,/proc/cpuinfo,"power management: ts ttp tm stc 100mhzsteps hwpstate cpb"
BBBP,153,/proc/cpuinfo,""
BBBP,154,/proc/cpuinfo,"processor	: 5"
BBBP,155,/proc/cpuinfo,"vendor_id	: AuthenticAMD"
BBBP,156,/proc/cpuinfo,"cpu family	: 16"
BBBP,157,/proc/cpuinfo,"model		: 10"
BBBP,158,/proc/cpuinfo,"model name	: AMD Phenom(tm) II X6 1100T Processor"
BBBP,159,/proc/cpuinfo,"stepping	: 0"
BBBP,160,/proc/cpuinfo,"microcode	: 0x10000bf"
BBBP,161,/proc/cpuinfo,"cpu MHz		: 800.000"
BBBP,162,/proc/cpuinfo,"cache size	: 512 KB"
BBBP,163,/proc/cpuinfo,"physical id	: 0"
BBBP,164,/proc/cpuinfo,"siblings	: 6"
BBBP,165,/proc/cpuinfo,"core id		: 5"
BBBP,166,/proc/cpuinfo,"cpu cores	: 6"
BBBP,167,/proc/cpuinfo,"apicid		: 5"
BBBP,168,/proc/cpuinfo,"initial apicid	: 5"
