Timestamp,User%,Sys%,Wait%,Idle%
07-DEC-2012 13:18:32,14.2,6.2,0.6,79.0
07-DEC-2012 13:18:33,11.2,5.1,0.0,83.7
07-DEC-2012 13:18:34,7.0,5.0,0.0,88.0
07-DEC-2012 13:18:35,9.9,10.9,0.0,79.2
07-DEC-2012 13:18:36,10.1,15.2,3.0,71.7
07-DEC-2012 13:18:37,6.2,4.2,0.0,89.6
07-DEC-2012 13:18:38,8.2,4.1,0.0,87.6
07-DEC-2012 13:18:39,12.1,4.0,0.0,83.8
07-DEC-2012 13:18:40,7.3,1.0,0.0,91.7
07-DEC-2012 13:18:41,16.3,16.3,0.0,67.3
07-DEC-2012 13:18:42,19.2,18.2,0.0,62.6
07-DEC-2012 13:18:43,14.0,8.0,0.0,78.0
07-DEC-2012 13:18:44,4.1,2.0,0.0,93.9
07-DEC-2012 13:18:45,13.0,8.0,3.0,76.0
07-DEC-2012 13:18:46,4.1,0.0,5.2,90.7
07-DEC-2012 13:18:47,6.2,2.1,4.1,87.6
07-DEC-2012 13:18:48,7.0,4.0,0.0,89.0
07-DEC-2012 13:18:49,5.1,0.0,0.0,94.9
07-DEC-2012 13:18:50,4.0,3.0,0.0,93.0
07-DEC-2012 13:18:51,7.2,2.1,0.0,90.7
07-DEC-2012 13:18:52,28.6,7.1,1.0,63.3
07-DEC-2012 13:18:53,26.3,5.3,0.0,68.4
07-DEC-2012 13:18:54,15.7,7.8,0.0,76.5
07-DEC-2012 13:18:55,8.4,4.2,0.0,87.4
07-DEC-2012 13:18:56,10.0,3.0,5.0,82.0
07-DEC-2012 13:18:57,9.4,8.3,9.4,72.9
07-DEC-2012 13:18:58,14.3,4.1,1.0,80.6
07-DEC-2012 13:18:59,5.1,3.1,0.0,91.8
07-DEC-2012 13:19:00,10.8,2.2,0.0,87.1
07-DEC-2012 13:19:01,22.2,3.0,0.0,74.7
07-DEC-2012 13:19:02,10.3,3.1,4.1,82.5
07-DEC-2012 13:19:03,14.0,9.0,9.0,68.0
07-DEC-2012 13:19:04,14.6,7.3,0.0,78.1
07-DEC-2012 13:19:05,13.5,5.2,3.1,78.1
07-DEC-2012 13:19:06,15.6,14.7,0.0,69.7
07-DEC-2012 13:19:07,13.7,8.4,4.2,73.7
07-DEC-2012 13:19:08,14.6,5.2,4.2,76.0
07-DEC-2012 13:19:09,16.3,3.1,0.0,80.6
07-DEC-2012 13:19:10,12.8,4.3,5.3,77.7
07-DEC-2012 13:19:11,20.0,13.7,4.2,62.1
07-DEC-2012 13:19:12,17.0,13.6,10.2,59.1
07-DEC-2012 13:19:13,12.8,11.6,0.0,75.6
07-DEC-2012 13:19:14,13.1,6.0,0.0,81.0
07-DEC-2012 13:19:15,11.4,7.6,0.0,81.0
07-DEC-2012 13:19:16,11.0,8.5,0.0,80.5
07-DEC-2012 13:19:17,9.1,12.5,19.3,59.1
07-DEC-2012 13:19:18,14.3,9.5,9.5,66.7
07-DEC-2012 13:19:19,15.9,13.6,4.5,65.9
07-DEC-2012 13:19:20,14.3,11.9,0.0,73.8
07-DEC-2012 13:19:21,11.8,9.4,16.5,62.4
07-DEC-2012 13:19:22,4.3,1.1,0.0,94.6
07-DEC-2012 13:19:23,12.4,6.2,0.0,81.4
07-DEC-2012 13:19:24,12.4,12.4,0.0,75.3
07-DEC-2012 13:19:25,16.7,12.5,3.1,67.7
07-DEC-2012 13:19:26,18.8,11.9,0.0,69.3
07-DEC-2012 13:19:27,9.8,6.9,2.0,81.4
07-DEC-2012 13:19:29,9.4,0.0,0.0,90.6
07-DEC-2012 13:19:30,25.3,3.0,0.0,71.7
07-DEC-2012 13:19:31,18.6,6.2,0.0,75.3
07-DEC-2012 13:19:32,19.8,2.1,0.0,78.1
07-DEC-2012 13:19:33,7.2,3.1,0.0,89.7
07-DEC-2012 13:19:34,8.0,5.0,0.0,87.0
07-DEC-2012 13:19:35,4.2,11.5,33.3,51.0
07-DEC-2012 13:19:36,7.4,58.9,31.6,2.1
07-DEC-2012 13:19:37,5.9,26.7,47.5,19.8
07-DEC-2012 13:19:38,7.8,6.7,76.7,8.9
07-DEC-2012 13:19:39,6.3,6.3,70.5,16.8
07-DEC-2012 13:19:40,8.9,10.0,76.7,4.4
07-DEC-2012 13:19:41,2.4,4.7,92.9,0.0
07-DEC-2012 13:19:42,42.4,3.3,41.3,13.0
07-DEC-2012 13:19:43,20.0,3.3,50.0,26.7
07-DEC-2012 13:19:44,9.1,6.8,78.4,5.7
07-DEC-2012 13:19:45,7.3,7.3,74.3,11.0
07-DEC-2012 13:19:46,17.0,14.9,53.2,14.9
07-DEC-2012 13:19:47,12.5,5.2,60.4,21.9
07-DEC-2012 13:19:48,12.1,3.0,28.3,56.6
07-DEC-2012 13:19:49,4.1,4.1,0.0,91.8
07-DEC-2012 13:19:50,6.1,46.5,22.2,25.3
07-DEC-2012 13:19:51,2.3,79.5,18.2,0.0
07-DEC-2012 13:19:52,6.6,57.1,36.3,0.0
