JFS Filespace %Used the-gibson,/,/dev,/run,/run/lock,/run/shm,/home,/run/rpc_pipefs,/run/vmblock-fuse,/home/madmaze/.gvfs,/media/secure
2012-12-07 13:18:32,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:33,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:34,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:35,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:36,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:37,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:38,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:39,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:40,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:41,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:42,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:43,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:44,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:45,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:46,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:47,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:48,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:49,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:50,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:51,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:52,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:53,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:54,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:55,19.2,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:56,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:57,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:58,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:18:59,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:19:00,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:19:01,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:19:02,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
2012-12-07 13:19:03,19.3,0.0,0.0,0.0,0.3,88.2,-nan,-nan,-nan,60.3
