Network I/O the-gibson,lo-read-KB/s,vmnet8-read-KB/s,eth1-read-KB/s,tun-read-KB/s,eth0-read-KB/s,vmnet1-read-KB/s,lo-write-KB/s,vmnet8-write-KB/s,eth1-write-KB/s,tun-write-KB/s,eth0-write-KB/s,vmnet1-write-KB/s,
2012-12-07 13:18:32,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,
2012-12-07 13:18:33,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
2012-12-07 13:18:34,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,
2012-12-07 13:18:35,0.4,0.0,0.0,0.0,1.3,0.0,0.4,0.0,0.0,0.0,1.4,0.0,
2012-12-07 13:18:36,0.0,0.0,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.1,0.3,0.0,
2012-12-07 13:18:37,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.1,0.8,0.0,
2012-12-07 13:18:38,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,
2012-12-07 13:18:39,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
2012-12-07 13:18:40,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2012-12-07 13:18:41,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
2012-12-07 13:18:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:45,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.0,0.0,0.1,0.8,0.0,
2012-12-07 13:18:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
2012-12-07 13:18:47,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2012-12-07 13:18:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:51,2.6,0.0,0.0,1.3,3.2,0.0,2.6,0.0,0.0,0.2,1.8,0.0,
2012-12-07 13:18:52,1.3,0.0,0.0,25.7,1738.6,0.0,1.3,0.0,0.0,10.1,61.2,0.0,
2012-12-07 13:18:53,0.4,0.0,0.0,14.9,352.4,0.0,0.4,0.0,0.0,3.1,18.6,0.0,
2012-12-07 13:18:54,0.0,0.0,0.0,0.1,284.7,0.0,0.0,0.0,0.0,0.1,7.4,0.0,
2012-12-07 13:18:55,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
2012-12-07 13:18:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:18:57,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2012-12-07 13:18:58,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2012-12-07 13:18:59,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2012-12-07 13:19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:02,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
2012-12-07 13:19:03,2.9,0.0,0.0,0.0,4.8,0.0,2.9,0.0,0.0,0.0,3.9,0.0,
2012-12-07 13:19:04,4.8,0.0,0.0,0.0,5.5,0.0,4.8,0.0,0.0,0.0,3.7,0.0,
2012-12-07 13:19:05,5.6,0.0,0.0,0.0,10.0,0.0,5.6,0.0,0.0,0.0,4.4,0.0,
2012-12-07 13:19:06,5.5,0.0,0.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,4.9,0.0,
2012-12-07 13:19:07,4.7,0.0,0.0,0.0,20.7,0.0,4.7,0.0,0.0,0.0,5.6,0.0,
2012-12-07 13:19:08,0.4,0.0,0.0,0.0,1.1,0.0,0.4,0.0,0.0,0.0,0.5,0.0,
2012-12-07 13:19:09,0.0,0.0,0.0,0.0,73.3,0.0,0.0,0.0,0.0,0.0,3.5,0.0,
2012-12-07 13:19:10,0.0,0.0,0.0,0.5,977.2,0.0,0.0,0.0,0.0,0.1,19.8,0.0,
2012-12-07 13:19:11,0.0,0.0,0.0,0.1,2784.2,0.0,0.0,0.0,0.0,0.1,57.0,0.0,
2012-12-07 13:19:12,0.0,0.0,0.0,0.0,5385.7,0.0,0.0,0.0,0.0,0.0,105.3,0.0,
2012-12-07 13:19:13,0.0,0.0,0.0,0.0,6719.3,0.0,0.0,0.0,0.0,0.0,130.0,0.0,
2012-12-07 13:19:14,0.0,0.0,0.0,0.0,6695.7,0.0,0.0,0.0,0.0,0.0,127.9,0.0,
2012-12-07 13:19:15,0.0,0.0,0.0,0.0,6700.8,0.0,0.0,0.0,0.0,0.0,129.7,0.0,
2012-12-07 13:19:16,0.0,0.0,0.0,0.0,6691.8,0.0,0.0,0.0,0.0,0.0,129.2,0.0,
2012-12-07 13:19:17,0.0,0.0,0.0,0.0,7147.8,0.0,0.0,0.0,0.0,0.0,133.1,0.0,
2012-12-07 13:19:18,0.0,0.0,0.0,0.0,6280.8,0.0,0.0,0.0,0.0,0.0,118.7,0.0,
2012-12-07 13:19:19,0.0,0.0,0.0,0.0,6699.2,0.0,0.0,0.0,0.0,0.0,121.8,0.0,
2012-12-07 13:19:20,0.0,0.0,0.0,0.0,6695.7,0.0,0.0,0.0,0.0,0.0,125.7,0.0,
2012-12-07 13:19:21,0.0,0.0,0.0,0.0,6699.8,0.0,0.0,0.0,0.0,0.0,115.9,0.0,
2012-12-07 13:19:22,0.0,0.0,0.0,0.0,889.1,0.0,0.0,0.0,0.0,0.0,21.3,0.0,
2012-12-07 13:19:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:24,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2012-12-07 13:19:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-12-07 13:19:30,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
