Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2012-12-07 13:18:32,-1,-1,-1,995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3006964,6964,-1,383532,-1,680,79712,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,155
2012-12-07 13:18:33,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,635,635,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:34,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,449,449,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:35,-1,-1,-1,995,-1,-1,0,0,0,0,0,0,0,0,0,1042,1042,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:36,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,849,849,0,-5,0,0,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-12-07 13:18:37,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,574,574,0,0,0,0,32,1271940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:38,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,407,407,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-12-07 13:18:39,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,644,644,0,1,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:40,-1,-1,-1,997,-1,-1,0,0,0,0,0,0,0,0,0,489,489,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-12-07 13:18:41,-1,-1,-1,997,-1,-1,0,0,0,0,0,0,0,0,0,536,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:42,-1,-1,-1,994,-1,-1,0,0,0,0,0,0,0,0,0,721,721,0,4,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:43,-1,-1,-1,994,-1,-1,0,0,0,0,0,0,0,0,0,458,458,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:44,-1,-1,-1,995,-1,-1,0,0,0,0,0,0,0,0,0,423,423,0,1,0,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:45,-1,-1,-1,994,-1,-1,0,0,0,0,0,0,0,0,0,7213,7213,0,9,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:46,-1,-1,-1,994,-1,-1,0,0,0,0,0,0,0,0,0,515,515,0,-5,0,0,116,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2012-12-07 13:18:47,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,821,821,0,0,0,0,452,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:48,-1,-1,-1,996,-1,-1,0,0,0,0,0,0,0,0,0,678,678,0,-3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:49,-1,-1,-1,998,-1,-1,0,0,0,0,0,0,0,0,0,484,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:50,-1,-1,-1,997,-1,-1,0,0,0,0,0,0,0,0,0,800,800,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:51,-1,-1,-1,998,-1,-1,0,0,0,0,0,0,0,0,0,1954,1954,0,-5,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0
2012-12-07 13:18:52,-1,-1,-1,836,-1,-1,0,0,0,0,0,0,0,0,0,6974,6974,0,-38,0,0,68,-1271958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:53,-1,-1,-1,234,-1,-1,0,0,0,0,0,0,0,0,0,8832,8832,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:54,-1,-1,-1,664,-1,-1,0,0,0,0,0,0,0,0,0,4405,4405,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:55,-1,-1,-1,536,-1,-1,0,0,0,0,0,0,0,0,0,14032,14032,0,60,0,0,13280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:56,-1,-1,-1,609,-1,-1,0,0,0,0,0,0,0,0,0,17819,17819,0,-65,0,0,-63496,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07 13:18:57,-1,-1,-1,673,-1,-1,0,0,0,0,0,0,0,0,0,5439,5439,0,15,0,0,37912,-4,-75,0,0,0,0,0,0,0,0,0,0,0,0,0
